author_type,floor,floors_count,rooms_count,total_meters,price_per_month,district,street,underground
homeowner,15,25,1,23.0,70000,Метрогородок,Тагильская ,Бульвар Рокоссовского
real_estate_agent,5,8,3,94.0,300000,Басманный,Чистопрудный бульвар,Чистые пруды
real_estate_agent,7,8,3,250.0,500000,Якиманка,2-й Казачий переулок,Полянка
real_estate_agent,68,76,2,154.0,1200000,Пресненский,набережная Пресненская,Деловой центр
real_estate_agent,9,12,3,130.0,400000,Якиманка, Серафимовича,Боровицкая
real_estate_agent,6,7,5,180.0,280000,Черемушки, Гарибальди,Новые Черёмушки
homeowner,5,17,3,64.0,115000,, Эдварда Грига,Потапово
real_estate_agent,4,7,4,183.0,330000,Пресненский,Калашный переулок,Арбатская
real_estate_agent,9,16,3,110.0,490000,Пресненский,Мантулинская ,Москва-Сити
real_estate_agent,2,41,3,75.0,430000,Хорошевский,Ленинградский проспект,ЦСКА
real_estate_agent,4,4,4,170.0,550000,Тверской,Тверская ,Охотный ряд
realtor,2,5,1,38.0,45000,Южное Бутово,проезд Чечерский,Улица Горчакова
real_estate_agent,3,19,3,70.0,220000,Беговой,Ленинградский проспект,Динамо
real_estate_agent,4,33,1,33.0,65000,Гольяново,Амурская ,Локомотив
real_estate_agent,5,12,3,110.0,270000,Тверской,1-я Миусская ,Новослободская
real_estate_agent,8,8,5,200.0,300000,Тверской,Тверская ,Охотный ряд
real_estate_agent,3,5,4,103.0,310000,Мещанский,переулок Пушкарев,Сухаревская
real_estate_agent,10,44,4,210.0,500000,Фили-Давыдково,Давыдковская ,Славянский бульвар
real_estate_agent,14,14,2,78.0,180000,Пресненский,Зоологический переулок,Краснопресненская
real_estate_agent,13,24,1,40.0,130000,Арбат, Новый Арбат,Смоленская
real_estate_agent,3,17,1,21.2,43500,, Красулинская,Филатов Луг
real_estate_agent,17,22,2,70.0,190000,Даниловский,бульвар Братьев Весниных,ЗИЛ
real_estate_agent,5,6,4,350.0,1300000,Таганский,Серебряническая набережная,Чкаловская
real_estate_agent,18,18,2,66.0,150000,Богородское,Краснобогатырская ,Преображенская площадь
real_estate_agent,9,14,1,21.9,41900,, Усадебный Парк,Толстопальцево
real_estate_agent,3,8,3,100.0,330000,Хамовники,Трубецкая ,Фрунзенская
homeowner,8,8,2,137.0,425000,Даниловский,2-й Павелецкий проезд,Пролетарская
real_estate_agent,60,78,2,96.0,410000,Пресненский,1-й Красногвардейский проезд,Москва-Сити
real_estate_agent,16,16,2,85.0,350000,Пресненский,Большая Грузинская ,Белорусская
real_estate_agent,11,22,2,40.0,95000,Покровское-Стрешнево,Волоколамское шоссе,Спартак
real_estate_agent,3,18,3,102.0,500000,Пресненский,2-я Звенигородская ,Улица 1905 года
homeowner,20,33,3,112.8,220000,Тропарево-Никулино,проспект Вернадского,Юго-Западная
real_estate_agent,6,79,3,92.0,380000,Пресненский,1-й Красногвардейский проезд,Москва-Сити
real_estate_agent,4,6,4,100.0,400000,Пресненский,Малая Бронная ,Маяковская
real_estate_agent,3,4,4,152.0,500000,Арбат,Староконюшенный переулок,Кропоткинская
homeowner,5,5,2,47.0,100000,Гагаринский, Вавилова,Ленинский проспект
real_estate_agent,18,18,2,80.0,350000,Пресненский,Большая Грузинская ,Белорусская
real_estate_agent,8,9,4,128.0,370000,Тверской,Большая Бронная ,Тверская
real_estate_agent,13,16,2,42.0,200000,Южнопортовый, 1-я Машиностроения,Дубровка
real_estate_agent,15,21,2,60.0,220000,Пресненский,2-я Черногрязская ,Улица 1905 года
real_estate_agent,3,15,2,88.0,170000,Тверской,4-я Тверская-Ямская ,Маяковская
official_representative,24,77,2,62.6,250000,Пресненский,1-й Красногвардейский проезд,Москва-Сити
real_estate_agent,3,8,4,120.0,250000,Арбат,Новинский бульвар,Смоленская
real_estate_agent,9,21,3,65.3,230000,Беговой,Ленинградский проспект,Динамо
official_representative,12,78,2,62.0,270000,Пресненский,1-й Красногвардейский проезд,Москва-Сити
official_representative,25,78,2,62.5,270000,Пресненский,1-й Красногвардейский проезд,Москва-Сити
real_estate_agent,5,6,2,58.0,170000,Басманный,Малый Казенный переулок,Курская
real_estate_agent,7,8,4,200.0,320000,Тверской,Сущевская ,Менделеевская
real_estate_agent,8,17,1,23.3,42000,Южное Бутово,Варшавское шоссе,Бутово
official_representative,41,78,2,77.0,380000,Пресненский,1-й Красногвардейский проезд,Москва-Сити
real_estate_agent,4,9,4,167.0,390000,Таганский,Котельническая набережная,Китай-город
real_estate_agent,14,24,3,45.0,95000,Западное Дегунино,Дмитровское шоссе,Верхние Лихоборы
realtor,2,25,3,65.6,430000,Хорошевский,Ленинградский проспект,Аэропорт
realtor,18,25,4,250.0,450000,Можайский,Можайское шоссе,Кунцевская
real_estate_agent,7,22,2,60.0,135000,Дмитровский,Дмитровское шоссе,Яхромская
official_representative,18,78,3,91.5,450000,Пресненский,1-й Красногвардейский проезд,Москва-Сити
real_estate_agent,17,25,1,40.0,100000,Хорошевский,Хорошевское шоссе,Полежаевская
real_estate_agent,5,40,5,190.0,485000,Раменки,Мосфильмовская ,Ломоносовский проспект
official_representative,16,78,3,96.0,490000,Пресненский,1-й Красногвардейский проезд,Москва-Сити
